"price","volume","yard","area","rooms","sleeping","iso","hood","garden","balcony","garage","age","openh","paint","days","mALM","mAMS","mBRE","mDHA","mEIN","mGRO","mNIJ","mROT","mTIL","mUTR"
700000,899,661,259,8,3,0,"Neerbosch-Oost",1,0,1,25,0,0,1,0,0,0,0,0,0,1,0,0,0
669000,621,435,174,6,4,0,"Heijendaal",1,0,1,23,0,0,2,0,0,0,0,0,0,1,0,0,0
205000,318,140,97,7,4,0,"Neerbosch-Oost",1,0,0,53,0,0,3,0,0,0,0,0,0,1,0,0,0
275000,394,247,85,5,2,0,"Wolfskuil",1,0,1,119,0,0,3,0,0,0,0,0,0,1,0,0,0
215000,450,225,100,5,0,0,"&#39;t Acker",1,0,1,36,0,0,3,0,0,0,0,0,0,1,0,0,0
375000,450,260,100,4,3,0,"Hees",1,0,1,61,0,0,23,0,0,0,0,0,0,1,0,0,0
275000,363,115,104,5,4,0,"Grootstal",1,0,0,23,0,0,15,0,0,0,0,0,0,1,0,0,0
485000,634,342,149,5,4,0,"Hatertse Hei",1,0,1,67,1,0,41,0,0,0,0,0,0,1,0,0,0
730000,991,326,236,8,6,0,"Galgenveld",1,1,1,92,0,0,92,0,0,0,0,0,0,1,0,0,0
890000,1240,1070,349,9,8,0,"Brakkenstein",1,1,1,27,1,0,161,0,0,0,0,0,0,1,0,0,0
275000,386,201,102,5,4,0,"Hatertse Hei",1,0,1,61,0,0,7,0,0,0,0,0,0,1,0,0,0
419000,585,227,135,5,4,0,"Neerbosch-Oost",1,0,1,67,0,0,15,0,0,0,0,0,0,1,0,0,0
315000,545,250,153,6,4,0,"Tolhuis",1,1,1,46,0,0,52,0,0,0,0,0,0,1,0,0,0
480000,673,306,174,5,4,0,"Oosterhout",1,0,0,10,0,0,21,0,0,0,0,0,0,1,0,0,0
1690000,1750,614,387,12,8,0,"Stadscentrum",1,0,1,123,0,0,85,0,0,0,0,0,0,1,0,0,0
850000,720,700,198,5,4,0,"Brakkenstein",1,0,1,20,0,0,7,0,0,0,0,0,0,1,0,0,0
439000,520,239,116,4,3,0,"St. Anna",1,0,0,86,0,0,22,0,0,0,0,0,0,1,0,0,0
300000,471,144,101,5,4,0,"Oosterhout",1,0,0,13,0,0,8,0,0,0,0,0,0,1,0,0,0
400000,547,217,146,7,6,0,"Hazenkamp",1,0,0,58,0,0,50,0,0,0,0,0,0,1,0,0,0
550000,681,107,155,5,4,0,"Altrade",1,0,0,119,0,0,1,0,0,0,0,0,0,1,0,0,0
298000,435,212,108,5,4,0,"Groenewoud",1,0,0,58,0,0,15,0,0,0,0,0,0,1,0,0,0
199500,315,156,92,4,3,0,"Weezenhof",1,0,1,47,0,0,3,0,0,0,0,0,0,1,0,0,0
450000,430,95,114,5,3,0,"Altrade",0,1,0,82,0,0,15,0,0,0,0,0,0,1,0,0,0
435000,648,266,165,6,5,0,"Oosterhout",1,0,0,14,0,0,46,0,0,0,0,0,0,1,0,0,0
325000,444,216,122,5,4,0,"Hees",1,0,1,51,0,0,57,0,0,0,0,0,0,1,0,0,0
495000,580,283,133,7,4,0,"St. Anna",1,0,1,67,0,0,68,0,0,0,0,0,0,1,0,0,0
250000,473,230,138,5,4,0,"Lankforst",1,0,1,49,0,0,14,0,0,0,0,0,0,1,0,0,0
215000,521,160,129,6,5,0,"Zwanenveld",1,0,0,45,0,0,50,0,0,0,0,0,0,1,0,0,0
225000,394,173,115,6,5,0,"&#39;t Acker",1,0,0,38,0,0,31,0,0,0,0,0,0,1,0,0,0
375000,467,188,125,5,4,0,"",1,0,1,4,0,0,14,0,0,0,0,0,0,1,0,0,0
249000,375,188,116,5,4,0,"Zwanenveld",1,0,1,44,0,0,12,0,0,0,0,0,0,1,0,0,0
725000,795,325,188,7,6,0,"Galgenveld",1,1,0,109,0,0,17,0,0,0,0,0,0,1,0,0,0
469000,502,135,144,7,4,0,"Altrade",1,0,0,90,0,0,16,0,0,0,0,0,0,1,0,0,0
269000,403,365,90,5,3,0,"Hatert",1,0,0,60,0,0,24,0,0,0,0,0,0,1,0,0,0
225000,375,130,75,4,3,0,"Wolfskuil",1,0,0,72,0,0,15,0,0,0,0,0,0,1,0,0,0
400000,637,0,125,4,2,0,"Bottendaal",1,0,0,128,0,0,18,0,0,0,0,0,0,1,0,0,0
350000,297,289,109,4,3,0,"Brakkenstein",1,0,0,87,0,0,18,0,0,0,0,0,0,1,0,0,0
475000,657,640,168,6,5,0,"Weezenhof",1,0,0,46,0,0,32,0,0,0,0,0,0,1,0,0,0
259000,300,128,83,3,2,0,"Grootstal",1,0,0,22,0,0,68,0,0,0,0,0,0,1,0,0,0
800000,528,0,165,4,3,0,"Galgenveld",0,1,1,9,0,0,31,0,0,0,0,0,0,1,0,0,0
325000,364,0,103,3,2,0,"Stadscentrum",0,0,0,17,0,0,21,0,0,0,0,0,0,1,0,0,0
575000,457,694,120,4,2,0,"Groenewoud",1,0,0,69,0,0,36,0,0,0,0,0,0,1,0,0,0
385000,686,344,181,7,6,0,"Weezenhof",1,0,1,44,0,0,10,0,0,0,0,0,0,1,0,0,0
345000,519,154,131,6,3,0,"Hazenkamp",1,0,0,96,0,0,17,0,0,0,0,0,0,1,0,0,0
122500,90,0,26,1,1,0,"Stadscentrum",0,0,0,10,0,0,1,0,0,0,0,0,0,1,0,0,0
825000,1174,280,250,8,5,0,"Hunnerberg",1,0,0,123,0,0,271,0,0,0,0,0,0,1,0,0,0
925000,515,890,134,4,3,0,"Hunnerberg",1,0,0,25,0,0,66,0,0,0,0,0,0,1,0,0,0
150000,210,141,59,2,1,0,"Zwanenveld",1,0,0,44,0,0,3,0,0,0,0,0,0,1,0,0,0
425000,565,215,117,5,3,0,"Hees",1,0,0,33,0,0,31,0,0,0,0,0,0,1,0,0,0
438500,612,271,159,5,0,0,"Oosterhout",1,0,0,47,0,0,3,0,0,0,0,0,0,1,0,0,0
375000,398,115,97,4,3,0,"Hengstdal",1,0,0,93,0,0,33,0,0,0,0,0,0,1,0,0,0
625000,580,384,171,5,4,0,"Groenewoud",1,0,1,88,0,0,9,0,0,0,0,0,0,1,0,0,0
299000,426,247,97,5,3,0,"&#39;t Broek",1,0,1,26,0,0,25,0,0,0,0,0,0,1,0,0,0
619000,760,164,215,8,6,0,"",1,0,0,117,0,0,85,0,0,0,0,0,0,1,0,0,0
325000,475,0,128,5,4,0,"Galgenveld",0,1,0,94,0,0,15,0,0,0,0,0,0,1,0,0,0
275000,442,350,107,4,2,0,"&#39;t Acker",1,0,1,26,0,0,31,0,0,0,0,0,0,1,0,0,0
675000,725,219,196,9,7,0,"Hunnerberg",1,0,0,83,0,0,41,0,0,0,0,0,0,1,0,0,0
325000,374,0,106,5,4,0,"Biezen",0,1,0,117,0,0,22,0,0,0,0,0,0,1,0,0,0
400000,494,244,127,7,5,0,"",1,0,1,2,0,0,36,0,0,0,0,0,0,1,0,0,0
469500,520,235,160,5,4,0,"Oosterhout",1,0,1,4,0,0,17,0,0,0,0,0,0,1,0,0,0
325000,306,0,97,3,2,0,"Hengstdal",1,0,1,113,0,0,8,0,0,0,0,0,0,1,0,0,0
545000,509,230,135,6,0,0,"Heijendaal",1,1,0,25,0,0,28,0,0,0,0,0,0,1,0,0,0
435000,300,0,93,3,2,0,"Hunnerberg",0,0,1,2,0,0,15,0,0,0,0,0,0,1,0,0,0
975000,1310,484,286,9,7,0,"Hunnerberg",1,1,1,113,0,0,56,0,0,0,0,0,0,1,0,0,0
189000,355,136,115,5,4,0,"Neerbosch-Oost",1,0,0,53,0,0,30,0,0,0,0,0,0,1,0,0,0
239000,375,274,124,5,4,0,"Weezenhof",1,0,1,47,0,0,32,0,0,0,0,0,0,1,0,0,0
625000,630,615,169,7,5,0,"Groenewoud",1,0,0,91,0,0,37,0,0,0,0,0,0,1,0,0,0
162500,159,0,48,3,2,0,"Heseveld",0,1,0,64,0,0,8,0,0,0,0,0,0,1,0,0,0
650000,837,479,224,6,5,0,"Grootstal",1,0,0,13,0,0,234,0,0,0,0,0,0,1,0,0,0
435000,750,267,201,6,5,0,"Oosterhout",1,0,1,17,0,0,30,0,0,0,0,0,0,1,0,0,0
570000,575,320,163,5,4,0,"Hees",1,0,1,33,0,0,20,0,0,0,0,0,0,1,0,0,0
290000,408,125,117,7,0,0,"Oosterhout",1,0,0,14,0,0,33,0,0,0,0,0,0,1,0,0,0
350000,1020,77,191,10,6,0,"Benedenstad",0,0,0,39,0,0,99,0,0,0,0,0,0,1,0,0,0
325000,248,0,76,3,2,0,"Hengstdal",0,0,0,86,0,0,43,0,0,0,0,0,0,1,0,0,0
200000,345,254,95,5,4,0,"Neerbosch-Oost",1,0,1,54,0,0,19,0,0,0,0,0,0,1,0,0,0
189000,305,198,86,4,3,0,"&#39;t Acker",1,0,0,38,0,0,40,0,0,0,0,0,0,1,0,0,0
195000,395,203,109,4,3,0,"Zwanenveld",1,0,0,45,0,0,22,0,0,0,0,0,0,1,0,0,0
369000,365,0,126,4,3,0,"Hunnerberg",0,0,0,61,0,0,12,0,0,0,0,0,0,1,0,0,0
